12 128 55954.00 I  0.066754 0.000011  0.256256 0.000022  I-0.4470718 0.0000039  0.9820 0.0032  I     0.346    0.102    -0.255    0.023  0.066770  0.256221 -0.4470732     0.207    -0.237  
12 129 55955.00 I  0.064275 0.000020  0.256217 0.000023  I-0.4479821 0.0000050  0.8515 0.0028  I     0.355    0.051    -0.250    0.028  0.064294  0.256203 -0.4479982     0.260    -0.216  
12 130 55956.00 I  0.061798 0.000020  0.256028 0.000022  I-0.4487852 0.0000041  0.7520 0.0038  I     0.363    0.051    -0.242    0.028  0.061824  0.255972 -0.4487993     0.316    -0.195  
12 131 55957.00 I  0.059265 0.000019  0.255837 0.000017  I-0.4494654 0.0000057  0.5902 0.0029  I     0.374    0.119    -0.223    0.030  0.059292  0.255822 -0.4494656     0.376    -0.179  
12 2 1 55958.00 I  0.056872 0.000022  0.255573 0.000018  I-0.4499689 0.0000042  0.4384 0.0037  I     0.386    0.119    -0.214    0.063  0.056906  0.255521 -0.4499897     0.404    -0.155  
12 2 2 55959.00 I  0.054719 0.000022  0.255271 0.000017  I-0.4503843 0.0000047  0.4131 0.0040  I     0.391    0.119    -0.228    0.063  0.054725  0.255253 -0.4504155     0.416    -0.138  
12 2 3 55960.00 I  0.052991 0.000023  0.254855 0.000017  I-0.4508117 0.0000067  0.4378 0.0046  I     0.384    0.119    -0.250    0.063  0.052998  0.254824 -0.4508189     0.416    -0.134  
12 2 4 55961.00 I  0.051346 0.000016  0.254406 0.000014  I-0.4512588 0.0000079  0.4592 0.0047  I     0.365    0.042    -0.262    0.087  0.051408  0.254365 -0.4512567     0.404    -0.161  
12 2 5 55962.00 I  0.049329 0.000020  0.254108 0.000019  I-0.4517515 0.0000066  0.5450 0.0051  I     0.344    0.043    -0.272    0.080  0.049333  0.254085 -0.4517747     0.378    -0.204  
12 2 6 55963.00 I  0.047346 0.000020  0.254042 0.000019  I-0.4523955 0.0000064  0.7711 0.0048  I     0.325    0.043    -0.290    0.080  0.047368  0.254001 -0.4524402     0.308    -0.278  
12 2 7 55964.00 I  0.045694 0.000017  0.254236 0.000018  I-0.4532978 0.0000071  1.0095 0.0046  I     0.309    0.119    -0.308    0.079  0.045706  0.254220 -0.4533091     0.258    -0.330  
12 2 8 55965.00 I  0.044311 0.000017  0.254581 0.000022  I-0.4544046 0.0000067  1.2180 0.0046  I     0.299    0.068    -0.319    0.075  0.044328  0.254546 -0.4544131     0.299    -0.339  
12 2 9 55966.00 I  0.043163 0.000016  0.255088 0.000022  I-0.4557230 0.0000059  1.3939 0.0046  I     0.290    0.068    -0.332    0.075  0.043192  0.255056 -0.4557227     0.362    -0.331  
12 210 55967.00 I  0.042153 0.000018  0.255845 0.000022  I-0.4571597 0.0000063  1.4716 0.0049  I     0.277    0.068    -0.357    0.075  0.042172  0.255797 -0.4571640     0.422    -0.316  
12 211 55968.00 I  0.041258 0.000014  0.256708 0.000019  I-0.4586340 0.0000079  1.4525 0.0049  I     0.259    0.083    -0.370    0.076  0.041276  0.256690 -0.4586395     0.361    -0.304  
12 212 55969.00 I  0.040279 0.000038  0.257480 0.000025  I-0.4600383 0.0000074  1.3540 0.0062  I     0.224    0.097    -0.355    0.069  0.040311  0.257438 -0.4600560     0.255    -0.290  
12 213 55970.00 I  0.038818 0.000038  0.258114 0.000024  I-0.4613177 0.0000095  1.1824 0.0069  I     0.187    0.126    -0.336    0.054  0.038861  0.258102 -0.4613256     0.149    -0.272  
12 214 55971.00 I  0.037081 0.000038  0.258675 0.000020  I-0.4623751 0.0000117  0.9268 0.0055  I     0.162    0.116    -0.335    0.057  0.037082  0.258631 -0.4623763     0.050    -0.258  
12 215 55972.00 I  0.035647 0.000039  0.259631 0.000023  I-0.4631761 0.0000055  0.6856 0.0062  I     0.168    0.086    -0.344    0.046  0.035700  0.259565 -0.4631795     0.089    -0.259  
12 216 55973.00 I  0.034331 0.000040  0.260907 0.000023  I-0.4637866 0.0000041  0.5651 0.0031  I     0.202    0.086    -0.339    0.046  0.034328  0.260928 -0.4637969     0.168    -0.266  
12 217 55974.00 I  0.032991 0.000040  0.262028 0.000023  I-0.4643397 0.0000029  0.5447 0.0026  I     0.240    0.086    -0.326    0.046  0.033052  0.261952 -0.4643422     0.251    -0.278  
12 218 55975.00 I  0.031632 0.000017  0.263069 0.000019  I-0.4649014 0.0000032  0.6005 0.0024  I     0.260    0.057    -0.314    0.029  0.031627  0.263077 -0.4649159     0.243    -0.280  
12 219 55976.00 I  0.030584 0.000017  0.264073 0.000019  I-0.4655638 0.0000039  0.7257 0.0029  I     0.266    0.057    -0.334    0.029  0.030595  0.263990 -0.4655836     0.201    -0.280  
12 220 55977.00 I  0.029656 0.000020  0.265038 0.000020  I-0.4663497 0.0000048  0.8418 0.0088  I     0.274    0.096    -0.345    0.036  0.029688  0.265055 -0.4663655     0.148    -0.275  
12 221 55978.00 I  0.028327 0.000018  0.265731 0.000015  I-0.4672324 0.0000171  0.9130 0.0059  I     0.284    0.207    -0.337    0.057  0.028345  0.265672 -0.4672390     0.106    -0.277  
12 222 55979.00 I  0.026644 0.000022  0.266349 0.000018  I-0.4681517 0.0000108  0.9122 0.0101  I     0.260    0.100    -0.333    0.053  0.026675  0.266316 -0.4681516     0.069    -0.276  
12 223 55980.00 I  0.024660 0.000021  0.267082 0.000018  I-0.4690449 0.0000109  0.8756 0.0077  I     0.248    0.100    -0.337    0.053  0.024689  0.267060 -0.4690540     0.138    -0.287  
12 224 55981.00 I  0.022817 0.000022  0.267870 0.000018  I-0.4698839 0.0000111  0.7821 0.0077  I     0.230    0.100    -0.352    0.053  0.022814  0.267829 -0.4698906     0.232    -0.299  
12 225 55982.00 I  0.021513 0.000023  0.268978 0.000017  I-0.4706106 0.0000109  0.6931 0.0071  I     0.210    0.100    -0.373    0.053  0.021568  0.268920 -0.4706253     0.242    -0.344  
12 226 55983.00 I  0.020602 0.000028  0.270269 0.000020  I-0.4712692 0.0000089  0.6015 0.0062  I     0.187    0.054    -0.398    0.071  0.020597  0.270273 -0.4712585     0.213    -0.396  
12 227 55984.00 I  0.020098 0.000028  0.271226 0.000020  I-0.4718090 0.0000057  0.4961 0.0056  I     0.168    0.054    -0.423    0.071  0.020119  0.271192 -0.4718084     0.167    -0.441  
12 228 55985.00 I  0.019650 0.000023  0.272010 0.000018  I-0.4722693 0.0000068  0.4143 0.0046  I     0.163    0.077    -0.437    0.090  0.019720  0.271968 -0.4722734     0.125    -0.477  
12 229 55986.00 I  0.019057 0.000030  0.273046 0.000024  I-0.4726308 0.0000071  0.3123 0.0046  I     0.172    0.077    -0.445    0.127  0.019069  0.273018 -0.4726379     0.115    -0.438  
12 3 1 55987.00 I  0.018805 0.000030  0.274272 0.000024  I-0.4729117 0.0000063  0.2639 0.0046  I     0.184    0.077    -0.449    0.127  0.018798  0.274244 -0.4729194     0.113    -0.373  
12 3 2 55988.00 I  0.018877 0.000031  0.275712 0.000025  I-0.4731888 0.0000059  0.3060 0.0059  I     0.193    0.077    -0.443    0.127  0.018937  0.275646 -0.4731884     0.132    -0.367  
12 3 3 55989.00 I  0.018518 0.000026  0.277167 0.000022  I-0.4735434 0.0000100  0.4072 0.0048  I     0.198    0.078    -0.409    0.185  0.018563  0.277173 -0.4735285     0.111    -0.323  
12 3 4 55990.00 I  0.017796 0.000027  0.278217 0.000026  I-0.4740126 0.0000076  0.5367 0.0065  I     0.199    0.103    -0.384    0.139  0.017782  0.278172 -0.4739946     0.084    -0.296  
12 3 5 55991.00 I  0.017375 0.000028  0.279097 0.000025  I-0.4746319 0.0000082  0.7114 0.0053  I     0.192    0.103    -0.378    0.139  0.017387  0.279057 -0.4746191     0.084    -0.381  
12 3 6 55992.00 I  0.016870 0.000021  0.280018 0.000022  I-0.4754483 0.0000074  0.9249 0.0049  I     0.174    0.116    -0.382    0.111  0.016938  0.279996 -0.4754440     0.074    -0.418  
12 3 7 55993.00 I  0.015713 0.000024  0.280797 0.000023  I-0.4764782 0.0000053  1.1279 0.0045  I     0.147    0.100    -0.382    0.086  0.015713  0.280781 -0.4764778     0.077    -0.436  
12 3 8 55994.00 I  0.014388 0.000022  0.281519 0.000023  I-0.4776966 0.0000051  1.3082 0.0038  I     0.119    0.100    -0.385    0.086  0.014414  0.281463 -0.4776973     0.086    -0.447  
12 3 9 55995.00 I  0.013190 0.000021  0.282557 0.000024  I-0.4790716 0.0000055  1.4193 0.0039  I     0.099    0.100    -0.391    0.086  0.013219  0.282526 -0.4790665     0.097    -0.455  
12 310 55996.00 I  0.012106 0.000021  0.283794 0.000020  I-0.4805201 0.0000059  1.4851 0.0039  I     0.089    0.088    -0.381    0.067  0.012112  0.283779 -0.4805270     0.110    -0.457  
12 311 55997.00 I  0.011011 0.000021  0.285061 0.000020  I-0.4820089 0.0000056  1.4523 0.0037  I     0.083    0.088    -0.338    0.067  0.011081  0.285000 -0.4819953     0.122    -0.452  
12 312 55998.00 I  0.009719 0.000025  0.286313 0.000028  I-0.4833830 0.0000046  1.2943 0.0039  I     0.080    0.070    -0.305    0.060  0.009693  0.286339 -0.4833724     0.132    -0.430  
12 313 55999.00 I  0.008691 0.000022  0.287499 0.000026  I-0.4846116 0.0000055  1.1786 0.0030  I     0.081    0.119    -0.308    0.048  0.008716  0.287402 -0.4846160     0.137    -0.397  
12 314 56000.00 I  0.007738 0.000026  0.288831 0.000025  I-0.4857596 0.0000040  1.1210 0.0035  I     0.084    0.119    -0.330    0.085  0.007787  0.288851 -0.4857658     0.134    -0.351  
12 315 56001.00 I  0.006397 0.000026  0.290139 0.000025  I-0.4868744 0.0000043  1.1258 0.0034  I     0.093    0.119    -0.339    0.085  0.006396  0.290088 -0.4868843     0.144    -0.325  
12 316 56002.00 I  0.004937 0.000022  0.291317 0.000025  I-0.4880460 0.0000056  1.2350 0.0035  I     0.109    0.119    -0.324    0.085  0.004961  0.291305 -0.4880525     0.153    -0.301  
12 317 56003.00 I  0.003381 0.000020  0.292513 0.000025  I-0.4893618 0.0000054  1.3965 0.0049  I     0.126    0.119    -0.309    0.084  0.003408  0.292453 -0.4893520     0.155    -0.295  
12 318 56004.00 I  0.001638 0.000027  0.293840 0.000028  I-0.4908192 0.0000080  1.4988 0.0049  I     0.140    0.054    -0.292    0.085  0.001664  0.293818 -0.4907959     0.153    -0.296  
12 319 56005.00 I -0.000084 0.000028  0.295075 0.000028  I-0.4923412 0.0000082  1.5466 0.0073  I     0.152    0.064    -0.276    0.088 -0.000066  0.295068 -0.4923400     0.149    -0.297  
12 320 56006.00 I -0.001518 0.000025  0.296020 0.000029  I-0.4939128 0.0000122  1.5955 0.0049  I     0.163    0.098    -0.258    0.066 -0.001503  0.295981 -0.4939230     0.139    -0.294  
12 321 56007.00 I -0.002656 0.000027  0.297004 0.000029  I-0.4955028 0.0000055  1.5561 0.0066  I     0.166    0.098    -0.240    0.066 -0.002628  0.296959 -0.4954831     0.126    -0.264  
12 322 56008.00 I -0.003707 0.000029  0.298252 0.000029  I-0.4970001 0.0000050  1.4421 0.0038  I     0.161    0.098    -0.229    0.066 -0.003668  0.298210 -0.4969786     0.113    -0.227  
12 323 56009.00 I -0.004430 0.000030  0.299587 0.000029  I-0.4984003 0.0000052  1.3681 0.0032  I     0.162    0.098    -0.223    0.066 -0.004461  0.299582 -0.4983959     0.100    -0.190  
12 324 56010.00 I -0.004667 0.000020  0.301006 0.000015  I-0.4997414 0.0000041  1.3094 0.0032  I     0.177    0.107    -0.221    0.073 -0.004601  0.300921 -0.4997354     0.151    -0.186  
12 325 56011.00 I -0.005070 0.000025  0.302621 0.000016  I-0.5010021 0.0000039  1.1997 0.0028  I     0.198    0.099    -0.227    0.083 -0.005048  0.302625 -0.5009856     0.224    -0.194  
12 326 56012.00 I -0.005800 0.000024  0.304040 0.000017  I-0.5021407 0.0000037  1.0897 0.0033  I     0.224    0.099    -0.251    0.083 -0.005769  0.303991 -0.5021345     0.317    -0.214  
12 327 56013.00 I -0.006698 0.000023  0.305071 0.000016  I-0.5031977 0.0000053  1.0284 0.0031  I     0.261    0.117    -0.290    0.117 -0.006669  0.305064 -0.5031977     0.382    -0.239  
12 328 56014.00 I -0.007568 0.000029  0.305889 0.000024  I-0.5042038 0.0000049  0.9861 0.0035  I     0.300    0.131    -0.342    0.112 -0.007584  0.305823 -0.5042043     0.345    -0.323  
12 329 56015.00 I -0.008162 0.000028  0.307101 0.000023  I-0.5051845 0.0000045  0.9876 0.0033  I     0.329    0.131    -0.393    0.112 -0.008111  0.307058 -0.5051893     0.275    -0.419  
12 330 56016.00 I -0.008831 0.000028  0.308810 0.000023  I-0.5061958 0.0000045  1.0397 0.0036  I     0.342    0.131    -0.419    0.112 -0.008824  0.308790 -0.5061999     0.198    -0.504  
12 331 56017.00 I -0.009567 0.000023  0.310708 0.000022  I-0.5072813 0.0000057  1.1442 0.0035  I     0.346    0.212    -0.412    0.162 -0.009569  0.310658 -0.5072863     0.171    -0.503  
12 4 1 56018.00 I -0.010337 0.000025  0.312783 0.000020  I-0.5085011 0.0000053  1.2993 0.0038  I     0.340    0.139    -0.399    0.118 -0.010272  0.312753 -0.5085085     0.163    -0.457  
12 4 2 56019.00 I -0.011357 0.000026  0.314892 0.000020  I-0.5098823 0.0000050  1.4616 0.0039  I     0.318    0.120    -0.411    0.091 -0.011351  0.314853 -0.5098935     0.158    -0.381  
12 4 3 56020.00 I -0.012274 0.000022  0.316881 0.000026  I-0.5114332 0.0000058  1.6508 0.0038  I     0.283    0.140    -0.433    0.116 -0.012264  0.316855 -0.5114393     0.161    -0.317  
12 4 4 56021.00 I -0.012910 0.000022  0.318682 0.000027  I-0.5131647 0.0000058  1.7825 0.0041  I     0.133    0.137    -0.439    0.114 -0.012896  0.318655 -0.5131549     0.285    -0.299  
12 4 5 56022.00 I -0.013392 0.000022  0.320370 0.000027  I-0.5149838 0.0000058  1.8709 0.0042  I     0.099    0.137    -0.440    0.114 -0.013364  0.320312 -0.5149928     0.436    -0.296  
12 4 6 56023.00 I -0.013727 0.000021  0.322213 0.000027  I-0.5168757 0.0000060  1.8670 0.0043  I     0.081    0.137    -0.441    0.114 -0.013715  0.322168 -0.5168595     0.442    -0.315  
12 4 7 56024.00 I -0.013668 0.000018  0.324166 0.000027  I-0.5186518 0.0000064  1.6650 0.0054  I     0.074    0.285    -0.423    0.208 -0.013652  0.324149 -0.5186314     0.384    -0.345  
12 4 8 56025.00 I -0.013110 0.000017  0.326020 0.000027  I-0.5201950 0.0000090  1.4309 0.0064  I     0.061    0.285    -0.378    0.208 -0.013097  0.325975 -0.5202021     0.310    -0.373  
12 4 9 56026.00 I -0.012335 0.000017  0.327934 0.000015  I-0.5215237 0.0000111  1.2271 0.0072  I     0.041    0.047    -0.351    0.046 -0.012284  0.327886 -0.5215395     0.228    -0.361  
12 410 56027.00 I -0.011639 0.000017  0.330147 0.000014  I-0.5226642 0.0000113  1.0681 0.0058  I     0.034    0.047    -0.374    0.046 -0.011627  0.330100 -0.5226753     0.133    -0.386  
12 411 56028.00 I -0.010887 0.000021  0.332543 0.000017  I-0.5236960 0.0000035  1.0172 0.0059  I     0.041    0.119    -0.420    0.045 -0.010886  0.332532 -0.5236983     0.040    -0.411  
12 412 56029.00 I -0.009918 0.000021  0.334875 0.000018  I-0.5247306 0.0000034  1.0621 0.0025  I     0.050    0.119    -0.444    0.045 -0.009896  0.334821 -0.5247296     0.018    -0.431  
12 413 56030.00 I -0.008901 0.000021  0.337116 0.000017  I-0.5258385 0.0000037  1.1618 0.0024  I     0.056    0.119    -0.438    0.045 -0.008876  0.337102 -0.5258404     0.025    -0.446  
12 414 56031.00 I -0.008032 0.000021  0.339195 0.000017  I-0.5270442 0.0000033  1.2314 0.0023  I     0.049    0.119    -0.422    0.040 -0.008011  0.339146 -0.5270311     0.023    -0.453  
12 415 56032.00 I -0.007251 0.000015  0.341135 0.000017  I-0.5282869 0.0000028  1.2576 0.0021  I     0.061    0.119    -0.399    0.037 -0.007230  0.341115 -0.5282793     0.024    -0.452  
12 416 56033.00 I -0.006327 0.000015  0.342996 0.000016  I-0.5295627 0.0000027  1.2935 0.0030  I     0.069    0.119    -0.387    0.037 -0.006329  0.342951 -0.5295673     0.033    -0.440  
12 417 56034.00 I -0.005243 0.000014  0.344969 0.000014  I-0.5308746 0.0000053  1.3314 0.0027  I     0.072    0.119    -0.390    0.036 -0.005199  0.344926 -0.5308783     0.051    -0.430  
12 418 56035.00 I -0.004252 0.000017  0.347180 0.000019  I-0.5322055 0.0000046  1.3093 0.0035  I     0.069    0.119    -0.396    0.041 -0.004236  0.347145 -0.5321965     0.070    -0.405  
12 419 56036.00 I -0.003465 0.000018  0.349542 0.000018  I-0.5334851 0.0000046  1.2628 0.0033  I     0.055    0.119    -0.391    0.041 -0.003430  0.349499 -0.5334911     0.090    -0.377  
12 420 56037.00 I -0.002888 0.000018  0.351965 0.000018  I-0.5347225 0.0000046  1.1904 0.0035  I     0.040    0.119    -0.380    0.041 -0.002859  0.351929 -0.5347248     0.109    -0.350  
12 421 56038.00 I -0.002374 0.000018  0.354160 0.000017  I-0.5358514 0.0000052  1.0746 0.0031  I     0.033    0.119    -0.375    0.044 -0.002364  0.354154 -0.5358613     0.105    -0.363  
12 422 56039.00 I -0.001491 0.000019  0.356065 0.000017  I-0.5368770 0.0000043  0.9746 0.0032  I     0.033    0.119    -0.380    0.039 -0.001494  0.356002 -0.5368881     0.091    -0.390  
12 423 56040.00 I -0.000323 0.000017  0.357993 0.000016  I-0.5378007 0.0000036  0.8750 0.0030  I     0.039    0.119    -0.387    0.040 -0.000272  0.357958 -0.5378073     0.074    -0.410  
12 424 56041.00 I  0.000631 0.000013  0.359948 0.000010  I-0.5386314 0.0000041  0.7887 0.0023  I     0.058    0.119    -0.392    0.032  0.000653  0.359920 -0.5386339     0.054    -0.422  
12 425 56042.00 I  0.001338 0.000016  0.361792 0.000014  I-0.5393933 0.0000030  0.7482 0.0025  I     0.088    0.054    -0.396    0.045  0.001379  0.361760 -0.5394047     0.118    -0.396  
12 426 56043.00 I  0.002182 0.000017  0.363414 0.000014  I-0.5401479 0.0000029  0.7681 0.0023  I     0.108    0.054    -0.403    0.045  0.002156  0.363391 -0.5401645     0.201    -0.355  
12 427 56044.00 I  0.003313 0.000018  0.364858 0.000015  I-0.5409412 0.0000034  0.8232 0.0031  I     0.109    0.054    -0.398    0.045  0.003382  0.364806 -0.5409514     0.276    -0.307  
12 428 56045.00 I  0.004348 0.000019  0.366226 0.000015  I-0.5417915 0.0000054  0.8700 0.0032  I     0.115    0.079    -0.343    0.055  0.004355  0.366218 -0.5417935     0.024    -0.063  
12 429 56046.00 I  0.005258 0.000020  0.367477 0.000015  I-0.5426867 0.0000055  0.9334 0.0041  I     0.088    0.079    -0.321    0.055  0.005295  0.367419 -0.5427026     0.023    -0.063  
12 430 56047.00 I  0.006311 0.000020  0.368747 0.000014  I-0.5436883 0.0000061  1.0868 0.0051  I     0.045    0.079    -0.343    0.055  0.006321  0.368720 -0.5436860     0.005    -0.319  
12 5 1 56048.00 I  0.007686 0.000031  0.369922 0.000019  I-0.5448729 0.0000085  1.2780 0.0041  I    -0.007    0.064    -0.393    0.130  0.007701  0.369896 -0.5448627    -0.051    -0.305  
12 5 2 56049.00 I  0.009179 0.000035  0.370901 0.000025  I-0.5462308 0.0000054  1.4285 0.0049  I    -0.059    0.051    -0.433    0.095  0.009214  0.370867 -0.5462259    -0.130    -0.252  
12 5 3 56050.00 I  0.010519 0.000035  0.371938 0.000025  I-0.5477020 0.0000050  1.4951 0.0035  I    -0.098    0.051    -0.458    0.095  0.010546  0.371897 -0.5476981    -0.174    -0.257  
12 5 4 56051.00 I  0.011838 0.000035  0.373270 0.000024  I-0.5491839 0.0000045  1.4503 0.0034  I    -0.110    0.051    -0.481    0.095  0.011863  0.373233 -0.5491911    -0.124    -0.430  
12 5 5 56052.00 I  0.013348 0.000035  0.374740 0.000025  I-0.5505838 0.0000047  1.3492 0.0032  I    -0.099    0.044    -0.501    0.085  0.013328  0.374713 -0.5505806    -0.128    -0.496  
12 5 6 56053.00 I  0.015057 0.000039  0.376348 0.000027  I-0.5518634 0.0000046  1.1913 0.0033  I    -0.094    0.045    -0.473    0.082  0.015115  0.376289 -0.5519143    -0.156    -0.490  
12 5 7 56054.00 I  0.016278 0.000030  0.378009 0.000023  I-0.5529546 0.0000046  0.9979 0.0047  I    -0.114    0.045    -0.433    0.067  0.016308  0.378006 -0.5529813    -0.176    -0.452  
12 5 8 56055.00 I  0.016995 0.000025  0.379437 0.000016  I-0.5538741 0.0000082  0.8493 0.0029  I    -0.134    0.047    -0.426    0.111  0.016994  0.379387 -0.5538805    -0.188    -0.415  
12 5 9 56056.00 I  0.017517 0.000027  0.380784 0.000017  I-0.5546964 0.0000034  0.8304 0.0045  I    -0.128    0.119    -0.436    0.090  0.017569  0.380756 -0.5546775    -0.164    -0.381  
12 510 56057.00 I  0.017669 0.000026  0.381936 0.000016  I-0.5555650 0.0000036  0.9020 0.0024  I    -0.103    0.119    -0.432    0.090  0.017690  0.381913 -0.5555654    -0.129    -0.348  
12 511 56058.00 I  0.017758 0.000025  0.382741 0.000016  I-0.5564914 0.0000033  0.9468 0.0023  I    -0.074    0.119    -0.415    0.090  0.017780  0.382703 -0.5564987    -0.094    -0.313  
12 512 56059.00 I  0.018348 0.000016  0.383401 0.000011  I-0.5574596 0.0000027  0.9947 0.0024  I    -0.039    0.119    -0.407    0.100  0.018358  0.383365 -0.5574634    -0.051    -0.324  
12 513 56060.00 I  0.019676 0.000017  0.384069 0.000014  I-0.5584826 0.0000036  1.0482 0.0022  I    -0.020    0.044    -0.397    0.087  0.019698  0.384038 -0.5584999    -0.011    -0.353  
12 514 56061.00 I  0.021542 0.000016  0.384779 0.000015  I-0.5595429 0.0000035  1.0625 0.0037  I    -0.012    0.044    -0.399    0.079  0.021579  0.384748 -0.5595554     0.021    -0.379  
12 515 56062.00 I  0.023666 0.000012  0.385671 0.000014  I-0.5606109 0.0000064  1.0868 0.0030  I    -0.015    0.051    -0.423    0.073  0.023673  0.385619 -0.5606062     0.040    -0.404  
12 516 56063.00 I  0.025863 0.000024  0.386693 0.000023  I-0.5616964 0.0000048  1.0509 0.0040  I    -0.028    0.052    -0.441    0.066  0.025895  0.386691 -0.5617379    -0.032    -0.384  
